State,Paddy,Crops,Fisheries,Livestock,Fisherman,Agro-entrepreneur,High Value Commodity,Total Loss,Year
Johor,0,725,1635,52,0,18,0,2430,2024
Kedah,117474,347,27,269,0,4,89,118210,2024
Kelantan,10374,8544,1020,2159,0,346,0,22444,2024
Melaka,0,230,145,97,0,0,0,472,2024
Negeri Sembilan,0,699,443,68,0,0,0,1210,2024
Pahang,0,2156,6462,190,0,0,0,8807,2024
Pulau Pinang,0,11,50,0,0,2,0,63,2024
Perak,0,137,150,26,0,0,0,312,2024
Perlis,0,167,0,0,0,9,0,176,2024
Selangor,0,1699,171,0,0,0,0,1870,2024
Terengganu,0,2069,2769,1294,0,0,0,6132,2024
Sabah,0,0,0,44,0,0,0,44,2024
Sarawak,0,444,10,0,0,0,0,453,2024
Kuala Lumpur,0,0,0,0,0,0,0,0,2024
