State,District,Year,Living_Quarters_Count,Living_Quarters_Loss,Vehicles,Business_Premises,Manufacturing,Total_Loss,Loss_per_1000_Living_Quarters
Johor,Batu Pahat,2024,116252.0,165.05,11.818,25.7,0.0,202.568,1.7424904517771738
Johor,Batu Pahat,2025,116252.0,1090.531,112.907,305.97,0.0,1509.408,12.983931459243712
Johor,Johor Bahru,2024,460669.0,4874.478,312.6,209.362,0.0,5396.4400000000005,11.714354558262007
Johor,Johor Bahru,2025,460669.0,14430.616,564.10548,953.575,0.0,15948.29648,34.619860420388605
Johor,Kluang,2024,81993.0,3076.162261307319,643.2650909090906,536.914,0.0,4256.34135221641,51.911033285968436
Johor,Kluang,2025,81993.0,1939.225,20.164,174.446,0.0,2133.835,26.024599660946667
Johor,Kota Tinggi,2024,57786.0,8970.465346153846,566.726,1911.358,0.0,11448.549346153846,198.11977548461297
Johor,Kota Tinggi,2025,57786.0,3002.299,19.54748,23.25,0.0,3045.09648,52.69609386356557
Johor,Kulai,2024,77199.0,163.8,24.38,32.904,0.0,221.084,2.8638194795269367
Johor,Kulai,2025,77199.0,1339.75,5.7,4.0,0.0,1349.45,17.480148706589464
Johor,Mersing,2024,20673.0,1329.36,189.85,306.428,0.0,1825.638,88.31025975910607
Johor,Mersing,2025,20673.0,408.484,19.259,119.003,0.0,546.746,26.44734678082523
Johor,Muar,2024,69603.0,15.375,1.5,4.9,0.0,21.775,0.3128457106733905
Johor,Muar,2025,69603.0,0.0,0.0,0.0,0.0,0.0,0.0
Johor,Pontian,2024,42519.0,386.235,18.384,72.269,0.0,476.88800000000003,11.215879959547497
Johor,Pontian,2025,42519.0,2958.138,53.834,295.251,0.0,3307.223,77.78223852865777
Johor,Segamat,2024,52855.0,1561.7524322916665,289.61812745098035,222.019,0.0,2073.389559742647,39.22787928753471
Johor,Segamat,2025,52855.0,1019.911,78.536,267.894,0.0,1366.341,25.850742597672877
Johor,Tangkak,2024,38178.0,737.6931666666665,14.213333333333333,112.0004,0.0,863.9068999999998,22.628395934831577
Johor,Tangkak,2025,38178.0,0.0,0.0,0.0,0.0,0.0,0.0
Kedah,Baling,2024,37438.0,6858.513,266.938,781.805,0.0,7907.256,211.20935947433088
