State,Year,Living_Quarters_Count,Living Quarters,Vehicles,Business Premisses,Manufacturing,Agriculture,Infrastructure,Total Loss,Loss_per_1000_Living_Quarters
Johor,2024,1017727.0,21280.3712064195,2072.354551693404,3433.8544,0.0,2432.79012,29748.446750000003,58967.817028112906,57.94070220020979
Johor,2025,1017727.0,26188.953999999998,874.05296,2143.389,0.0,13010.384,29842.57674,72059.3567,70.80421046115511
Kedah,2024,528228.0,54013.122,2094.91,4291.2029999999995,0.0,118210.03,15052.90372,193662.16872000002,366.62609464095056
Kedah,2025,528228.0,9773.938000000002,416.705,1321.525,0.0,5039.9400000000005,20113.4192,36665.5272,69.41231286489923
Kelantan,2024,363251.0,139014.9179598401,3984.363745554624,27065.911999999997,1091.271,43788.0859263625,48088.78885,263033.3394817572,724.1090581492059
Kelantan,2025,363251.0,15617.649955948042,497.97231746031736,898.765,0.0,4383.692,67139.93187,88538.01114340837,243.73783181163537
Melaka,2024,267074.0,1047.566,82.185,62.75,0.0,471.6866,7248.726000000001,8912.9136,33.37244958326157
Melaka,2025,267074.0,728.772,44.3125,21.8,0.0,512.298,12900.817,14207.999499999998,53.19873705414978
Negeri Sembilan,2024,315497.0,2921.957619047618,76.58066666666639,62.00000000000001,0.0,1209.919,16180.5,20450.957285714285,64.82140015820843
Negeri Sembilan,2025,315497.0,839.9616666666669,40.0916666666667,30.444,0.0,2623.4051999999997,12902.0,16435.902533333334,52.095273594783265
Pahang,2024,401534.0,10961.249924630923,892.0209206349203,392.776,0.0,8807.069,16219.957989999999,37273.07383526584,92.82669421584681
Pahang,2025,401534.0,18775.5991874286,702.16253,1307.1309999999999,0.0,4288.764359999999,19045.54349,44119.200567428605,109.87662456337098
Pulau Pinang,2024,495347.0,886.930999999999,73.11999999999996,34.09,0.0,63.0,7660.99188,8718.13288,17.6000518424458
Pulau Pinang,2025,495347.0,848.673893162393,60.56307692307692,10.41,0.0,2592.7346000000002,8741.96706,12254.348630085471,24.738917627613514
Perak,2024,672855.0,12172.21976915183,720.2379999999999,636.62,0.0,312.341,43398.063429999995,57239.482199151826,85.06956506104855
Perak,2025,672855.0,15337.203999999998,615.4219999999999,843.7900000000001,0.0,4479.075,15377.634000000002,36653.125,54.47403229521962
Perlis,2024,80850.0,529.85,202.52499999999998,247.855,0.0,176.15,3988.05573,5144.43573,63.62938441558441
Perlis,2025,80850.0,5207.01,210.72000000000003,366.06000000000006,0.0,1221.9720000000002,22995.03289,30000.794889999997,371.06734557823125
Selangor,2024,1836410.0,6629.491954970465,270.88752589738215,0.0,0.0,1887.48066,13787.81135,22575.671490867848,12.29337211781021
Selangor,2025,1836410.0,15288.229418690262,358.74999999999994,1048.983666666667,0.0,9582.0305,26585.289,52863.28258535693,28.786209280801636
Terengganu,2024,282373.0,103127.90539999999,5814.2145,16426.931999999997,71.82,6661.2184913,49854.792570000005,181956.88296130003,644.3848489809579
Terengganu,2025,282373.0,14946.5695,430.35099999999994,858.1300000000001,75.6,1012.3599999999999,71849.38026,89172.39076000001,315.7964492355856
Sabah,2024,594163.0,17317.746647619013,687.74,1237.45,0.0,683.627,16913.87664,36840.440287619014,62.00392869905904
Sabah,2025,594163.0,27709.334,1253.9502333333335,1822.8157999999999,0.0,3648.8219999999997,23982.41577,58417.33780333333,98.31870682511924
Sarawak,2024,618108.0,2198.573060952381,192.216,168.0,0.0,518.406,24279.79065,27356.98571095238,44.25923254666236
Sarawak,2025,618108.0,32553.621,805.6260000000001,2685.9410000000003,0.0,163.648,25024.90883,61233.744829999996,99.06641692066758
W.P. Kuala Lumpur,2024,573529.0,61.023,124.892,0.0,0.0,0.0,7960.22102,8146.13602,14.203529411764706
W.P. Kuala Lumpur,2025,573529.0,0.0,522.0,89.5,0.0,0.0,20147.6156,20759.1156,36.195407032599924
W.P. Labuan,2024,0.0,68.866,0.0,0.0,0.0,0.0,2299.6440000000002,2368.51,0
W.P. Labuan,2025,0.0,0.0,0.0,0.0,0.0,0.0,2254.0,2254.0,0
W.P. Putrajaya,2024,0.0,0.0,10.0,0.0,0.0,0.0,697.07708,707.07708,0
W.P. Putrajaya,2025,0.0,0.0,0.0,0.0,0.0,0.0,1279.18655,1279.18655,0
