YearMonth,Year,Month,pr,r20mm,MonthName
2020-01,2020,1,184.44,1.6,Jan
2020-02,2020,2,172.06,1.87,Feb
2020-03,2020,3,211.32,2.42,Mar
2020-04,2020,4,251.92,2.85,Apr
2020-05,2020,5,282.41,2.84,May
2020-06,2020,6,274.03,2.8,Jun
2020-07,2020,7,308.66,3.04,Jul
2020-08,2020,8,205.23,1.57,Aug
2020-09,2020,9,337.83,4.24,Sep
2020-10,2020,10,260.21,2.43,Oct
2020-11,2020,11,380.02,4.47,Nov
2020-12,2020,12,282.95,2.56,Dec
2021-01,2021,1,325.57,4.17,Jan
2021-02,2021,2,131.14,1.05,Feb
2021-03,2021,3,268.22,2.87,Mar
2021-04,2021,4,217.0,1.39,Apr
2021-05,2021,5,290.19,2.97,May
2021-06,2021,6,218.21,1.68,Jun
2021-07,2021,7,181.47,1.82,Jul
2021-08,2021,8,334.33,3.75,Aug
2021-09,2021,9,297.2,3.7,Sep
2021-10,2021,10,258.17,2.71,Oct
2021-11,2021,11,350.71,4.36,Nov
2021-12,2021,12,290.82,3.14,Dec
2022-01,2022,1,250.38,2.77,Jan
2022-02,2022,2,290.71,3.59,Feb
2022-03,2022,3,289.96,3.23,Mar
2022-04,2022,4,255.06,2.21,Apr
2022-05,2022,5,247.16,2.29,May
2022-06,2022,6,280.9,2.12,Jun
2022-07,2022,7,186.97,1.3,Jul
2022-08,2022,8,299.9,3.41,Aug
2022-09,2022,9,270.02,2.98,Sep
2022-10,2022,10,376.88,4.76,Oct
2022-11,2022,11,333.48,3.53,Nov
2022-12,2022,12,362.27,5.03,Dec
2023-01,2023,1,286.25,2.81,Jan
2023-02,2023,2,234.54,2.57,Feb
2023-03,2023,3,242.24,2.69,Mar
2023-04,2023,4,176.23,1.09,Apr
2023-05,2023,5,188.68,1.27,May
2023-06,2023,6,194.0,1.26,Jun
2023-07,2023,7,206.46,2.14,Jul
2023-08,2023,8,280.89,3.19,Aug
2023-09,2023,9,312.89,3.82,Sep
2023-10,2023,10,330.32,3.7,Oct
2023-11,2023,11,347.05,4.01,Nov
2023-12,2023,12,367.98,4.4,Dec
2024-01,2024,1,311.47,3.71,Jan
2024-02,2024,2,187.38,1.73,Feb
2024-03,2024,3,237.77,2.77,Mar
2024-04,2024,4,291.94,3.3,Apr
2024-05,2024,5,339.65,4.1,May
2024-06,2024,6,281.05,3.51,Jun
2024-07,2024,7,144.87,1.17,Jul
2024-08,2024,8,339.05,4.41,Aug
2024-09,2024,9,205.83,2.3,Sep
2024-10,2024,10,263.6,3.21,Oct
2024-11,2024,11,426.7,5.76,Nov
2024-12,2024,12,324.6,4.24,Dec
